
|SF,Ch/s| BW,kHz | CR  | bit/s   | Byte/s  |
|  4096 |   7.81 | 4/8 |    11.4 |     1.4 |
|  4096 |   7.81 | 4/7 |    13.1 |     1.6 |
|  4096 |   7.81 | 4/6 |    15.3 |     1.9 |
|  4096 |  10.42 | 4/8 |    15.3 |     1.9 |
|  4096 |  10.42 | 4/7 |    17.4 |     2.2 |
|  4096 |   7.81 | 4/5 |    18.3 |     2.3 |
|  4096 |  10.42 | 4/6 |    20.4 |     2.5 |
|  2048 |   7.81 | 4/8 |    21.0 |     2.6 |
|  4096 |  15.63 | 4/8 |    22.9 |     2.9 |
|  2048 |   7.81 | 4/7 |    24.0 |     3.0 |
|  4096 |  10.42 | 4/5 |    24.4 |     3.1 |
|  4096 |  15.63 | 4/7 |    26.2 |     3.3 |
|  2048 |   7.81 | 4/6 |    28.0 |     3.5 |
|  2048 |  10.42 | 4/8 |    28.0 |     3.5 |
|  4096 |  15.63 | 4/6 |    30.5 |     3.8 |
|  4096 |  20.83 | 4/8 |    30.5 |     3.8 |
|  2048 |  10.42 | 4/7 |    32.0 |     4.0 |
|  2048 |   7.81 | 4/5 |    33.6 |     4.2 |
|  4096 |  20.83 | 4/7 |    34.9 |     4.4 |
|  4096 |  15.63 | 4/5 |    36.6 |     4.6 |
|  2048 |  10.42 | 4/6 |    37.3 |     4.7 |
|  1024 |   7.81 | 4/8 |    38.1 |     4.8 |
|  4096 |  20.83 | 4/6 |    40.7 |     5.1 |
|  2048 |  15.63 | 4/8 |    42.0 |     5.2 |
|  1024 |   7.81 | 4/7 |    43.6 |     5.4 |
|  2048 |  10.42 | 4/5 |    44.8 |     5.6 |
|  4096 |  31.25 | 4/8 |    45.8 |     5.7 |
|  2048 |  15.63 | 4/7 |    48.0 |     6.0 |
|  4096 |  20.83 | 4/5 |    48.8 |     6.1 |
|  1024 |   7.81 | 4/6 |    50.8 |     6.4 |
|  1024 |  10.42 | 4/8 |    50.9 |     6.4 |
|  4096 |  31.25 | 4/7 |    52.3 |     6.5 |
|  2048 |  20.83 | 4/8 |    55.9 |     7.0 |
|  2048 |  15.63 | 4/6 |    56.0 |     7.0 |
|  1024 |  10.42 | 4/7 |    58.1 |     7.3 |
|  1024 |   7.81 | 4/5 |    61.0 |     7.6 |
|  4096 |  31.25 | 4/6 |    61.0 |     7.6 |
|  4096 |  41.67 | 4/8 |    61.0 |     7.6 |
|  2048 |  20.83 | 4/7 |    63.9 |     8.0 |
|  2048 |  15.63 | 4/5 |    67.2 |     8.4 |
|  1024 |  10.42 | 4/6 |    67.8 |     8.5 |
|   512 |   7.81 | 4/8 |    68.6 |     8.6 |
|  4096 |  41.67 | 4/7 |    69.8 |     8.7 |
|  4096 |  31.25 | 4/5 |    73.2 |     9.2 |
|  2048 |  20.83 | 4/6 |    74.6 |     9.3 |
|  1024 |  15.63 | 4/8 |    76.3 |     9.5 |
|   512 |   7.81 | 4/7 |    78.4 |     9.8 |
|  1024 |  10.42 | 4/5 |    81.4 |    10.2 |
|  4096 |  41.67 | 4/6 |    81.4 |    10.2 |
|  2048 |  31.25 | 4/8 |    83.9 |    10.5 |
