+-----+-------+--------+-----+---------+---------+---------+---------+---------+
| No  |SF,Ch/s| BW,kHz | CR  |  bit/s  | Byte/s  | Tsym,ms |Tpream,ms|Tframe,ms|
+-----+-------+--------+-----+---------+---------+---------+---------+---------+
| 228 | 1024  | 500.00 | 4/8 |  2441.4 |  305.2  |    2.0  |   25.1  |  893.4  |
|  12 |   32  | 31.25  | 4/8 |  2441.4 |  305.2  |    1.0  |   12.5  |  880.9  |
+-----+-------+--------+-----+---------+---------+---------+---------+---------+




|   1 |   32  |  7.81 |4/5 |  976.3 |  122.0 |    4.1 |   50.2 | 2234.1 |
|   2 |   32  |  7.81 |4/6 |  813.5 |  101.7 |    4.1 |   50.2 | 2664.3 |
|   3 |   32  |  7.81 |4/7 |  697.3 |   87.2 |    4.1 |   50.2 | 3094.5 |
|   4 |   32  |  7.81 |4/8 |  610.2 |   76.3 |    4.1 |   50.2 | 3524.7 |
|   5 |   32  | 15.63 |4/5 | 1953.8 |  244.2 |    2.0 |   25.1 | 1116.3 |
|   6 |   32  | 15.63 |4/6 | 1628.1 |  203.5 |    2.0 |   25.1 | 1331.3 |
|   7 |   32  | 15.63 |4/7 | 1395.5 |  174.4 |    2.0 |   25.1 | 1546.3 |
|   8 |   32  | 15.63 |4/8 | 1221.1 |  152.6 |    2.0 |   25.1 | 1761.2 |
|   9 |   32  | 31.25 |4/5 | 3906.3 |  488.3 |    1.0 |   12.5 |  558.3 |
|  10 |   32  | 31.25 |4/6 | 3255.2 |  406.9 |    1.0 |   12.5 |  665.9 |
|  11 |   32  | 31.25 |4/7 | 2790.2 |  348.8 |    1.0 |   12.5 |  773.4 |
|  13 |   32  | 62.50 |4/5 | 7812.5 |  976.6 |    0.5 |    6.3 |  279.2 |
|  14 |   32  | 62.50 |4/6 | 6510.4 |  813.8 |    0.5 |    6.3 |  332.9 |
|  15 |   32  | 62.50 |4/7 | 5580.4 |  697.5 |    0.5 |    6.3 |  386.7 |
|  16 |   32  | 62.50 |4/8 | 4882.8 |  610.4 |    0.5 |    6.3 |  440.4 |
|  17 |   32  |125.00 |4/5 |15625.0 | 1953.1 |    0.3 |    3.1 |  139.6 |
|  18 |   32  |125.00 |4/6 |13020.8 | 1627.6 |    0.3 |    3.1 |  166.5 |
|  19 |   32  |125.00 |4/7 |11160.7 | 1395.1 |    0.3 |    3.1 |  193.3 |
|  20 |   32  |125.00 |4/8 | 9765.6 | 1220.7 |    0.3 |    3.1 |  220.2 |
|  21 |   32  |250.00 |4/5 |31250.0 | 3906.3 |    0.1 |    1.6 |   69.8 |
|  22 |   32  |250.00 |4/6 |26041.7 | 3255.2 |    0.1 |    1.6 |   83.2 |
|  23 |   32  |250.00 |4/7 |22321.4 | 2790.2 |    0.1 |    1.6 |   96.7 |
|  24 |   32  |250.00 |4/8 |19531.3 | 2441.4 |    0.1 |    1.6 |  110.1 |
|  25 |   32  |500.00 |4/5 |62500.0 | 7812.5 |    0.1 |    0.8 |   34.9 |
|  26 |   32  |500.00 |4/6 |52083.3 | 6510.4 |    0.1 |    0.8 |   41.6 |
|  27 |   32  |500.00 |4/7 |44642.9 | 5580.4 |    0.1 |    0.8 |   48.3 |
|  28 |   32  |500.00 |4/8 |39062.5 | 4882.8 |    0.1 |    0.8 |   55.1 |
|  29 |   32  | 10.42 |4/5 | 1302.5 |  162.8 |    3.1 |   37.6 | 1674.5 |
|  30 |   32  | 10.42 |4/6 | 1085.4 |  135.7 |    3.1 |   37.6 | 1996.9 |
|  31 |   32  | 10.42 |4/7 |  930.4 |  116.3 |    3.1 |   37.6 | 2319.4 |
|  32 |   32  | 10.42 |4/8 |  814.1 |  101.8 |    3.1 |   37.6 | 2641.8 |
|  33 |   32  | 20.83 |4/5 | 2603.8 |  325.5 |    1.5 |   18.8 |  837.6 |
|  34 |   32  | 20.83 |4/6 | 2169.8 |  271.2 |    1.5 |   18.8 |  998.9 |
|  35 |   32  | 20.83 |4/7 | 1859.8 |  232.5 |    1.5 |   18.8 | 1160.2 |
|  36 |   32  | 20.83 |4/8 | 1627.3 |  203.4 |    1.5 |   18.8 | 1321.6 |
|  37 |   32  | 41.67 |4/5 | 5208.8 |  651.1 |    0.8 |    9.4 |  418.7 |
|  38 |   32  | 41.67 |4/6 | 4340.6 |  542.6 |    0.8 |    9.4 |  499.4 |
|  39 |   32  | 41.67 |4/7 | 3720.5 |  465.1 |    0.8 |    9.4 |  580.0 |
|  40 |   32  | 41.67 |4/8 | 3255.5 |  406.9 |    0.8 |    9.4 |  660.6 |
|  41 |   64  |  7.81 |4/5 |  585.8 |   73.2 |    8.2 |  100.4 | 3730.6 |
|  42 |   64  |  7.81 |4/6 |  488.1 |   61.0 |    8.2 |  100.4 | 4443.5 |
|  43 |   64  |  7.81 |4/7 |  418.4 |   52.3 |    8.2 |  100.4 | 5156.5 |
|  44 |   64  |  7.81 |4/8 |  366.1 |   45.8 |    8.2 |  100.4 | 5869.4 |
|  45 |   64  | 15.63 |4/5 | 1172.3 |  146.5 |    4.1 |   50.2 | 1864.1 |
|  46 |   64  | 15.63 |4/6 |  976.9 |  122.1 |    4.1 |   50.2 | 2220.3 |
|  47 |   64  | 15.63 |4/7 |  837.3 |  104.7 |    4.1 |   50.2 | 2576.6 |
|  48 |   64  | 15.63 |4/8 |  732.7 |   91.6 |    4.1 |   50.2 | 2932.8 |
|  49 |   64  | 31.25 |4/5 | 2343.8 |  293.0 |    2.0 |   25.1 |  932.4 |
|  50 |   64  | 31.25 |4/6 | 1953.1 |  244.1 |    2.0 |   25.1 | 1110.5 |
|  51 |   64  | 31.25 |4/7 | 1674.1 |  209.3 |    2.0 |   25.1 | 1288.7 |
|  52 |   64  | 31.25 |4/8 | 1464.8 |  183.1 |    2.0 |   25.1 | 1466.9 |
|  53 |   64  | 62.50 |4/5 | 4687.5 |  585.9 |    1.0 |   12.5 |  466.2 |
|  54 |   64  | 62.50 |4/6 | 3906.3 |  488.3 |    1.0 |   12.5 |  555.3 |
|  55 |   64  | 62.50 |4/7 | 3348.2 |  418.5 |    1.0 |   12.5 |  644.4 |
|  56 |   64  | 62.50 |4/8 | 2929.7 |  366.2 |    1.0 |   12.5 |  733.4 |
|  57 |   64  |125.00 |4/5 | 9375.0 | 1171.9 |    0.5 |    6.3 |  233.1 |
|  58 |   64  |125.00 |4/6 | 7812.5 |  976.6 |    0.5 |    6.3 |  277.6 |
|  59 |   64  |125.00 |4/7 | 6696.4 |  837.1 |    0.5 |    6.3 |  322.2 |
|  60 |   64  |125.00 |4/8 | 5859.4 |  732.4 |    0.5 |    6.3 |  366.7 |
|  61 |   64  |250.00 |4/5 |18750.0 | 2343.8 |    0.3 |    3.1 |  116.5 |
