+-----+-------+--------+-----+---------+---------+---------+
| No  |SF,Ch/s| BW,kHz | CR  |  bit/s  | Byte/s  |Tframe,s |
+-----+-------+--------+-----+---------+---------+---------+
|   1 |    32 |   7.81 | 4/5 |   976.3 |   122.0 |     8.9 |
|   2 |    32 |   7.81 | 4/6 |   813.5 |   101.7 |     8.9 |
|   3 |    32 |   7.81 | 4/7 |   697.3 |    87.2 |     8.9 |
|   4 |    32 |   7.81 | 4/8 |   610.2 |    76.3 |     8.9 |
|   5 |    32 |  15.63 | 4/5 |  1953.8 |   244.2 |     4.4 |
|   6 |    32 |  15.63 | 4/6 |  1628.1 |   203.5 |     4.4 |
|   7 |    32 |  15.63 | 4/7 |  1395.5 |   174.4 |     4.4 |
|   8 |    32 |  15.63 | 4/8 |  1221.1 |   152.6 |     4.4 |
|   9 |    32 |  31.25 | 4/5 |  3906.3 |   488.3 |     2.2 |
|  10 |    32 |  31.25 | 4/6 |  3255.2 |   406.9 |     2.2 |
|  11 |    32 |  31.25 | 4/7 |  2790.2 |   348.8 |     2.2 |
|  12 |    32 |  31.25 | 4/8 |  2441.4 |   305.2 |     2.2 |
|  13 |    32 |  62.50 | 4/5 |  7812.5 |   976.6 |     1.1 |
|  14 |    32 |  62.50 | 4/6 |  6510.4 |   813.8 |     1.1 |
|  15 |    32 |  62.50 | 4/7 |  5580.4 |   697.5 |     1.1 |
|  16 |    32 |  62.50 | 4/8 |  4882.8 |   610.4 |     1.1 |
|  17 |    32 | 125.00 | 4/5 | 15625.0 |  1953.1 |     0.6 |
|  18 |    32 | 125.00 | 4/6 | 13020.8 |  1627.6 |     0.6 |
|  19 |    32 | 125.00 | 4/7 | 11160.7 |  1395.1 |     0.6 |
|  20 |    32 | 125.00 | 4/8 |  9765.6 |  1220.7 |     0.6 |
|  21 |    32 | 250.00 | 4/5 | 31250.0 |  3906.3 |     0.3 |
|  22 |    32 | 250.00 | 4/6 | 26041.7 |  3255.2 |     0.3 |
|  23 |    32 | 250.00 | 4/7 | 22321.4 |  2790.2 |     0.3 |
|  24 |    32 | 250.00 | 4/8 | 19531.3 |  2441.4 |     0.3 |
